331,Lens – The Kubernetes IDE – Announces its biggest release, LENS 5,https://medium.com/k8slens/lens-5-released-f7e58e8842cf,medium.com/k8slens,23 hours ago,eionelk8s,7 points
332,Harvard, MIT Part of $800M Deal to Push Access to Online Education,https://www.wsj.com/articles/harvard-mit-part-of-800-million-deal-to-push-access-to-online-education-11624964401,wsj.com,1 day ago,bookofjoe,10 points
333,Ask HN: How do you deal with eye floaters?,https://news.ycombinator.com/item?id=27673530https://news.ycombinator.com,1 day ago,mateo1,9 points
334,Show HN: Pandoc Markdown CSS Theme,https://jez.io/pandoc-markdown-css-theme/,jez.io,3 days ago,jez,41 points
335,Mental Health Professionals Have Begun Suing Stanford,https://www.psychologytoday.com/us/blog/happiness-and-the-pursuit-leadership/202106/mental-health-professionals-bring-lawsuit-against,psychologytoday.com,23 hours ago,jaytaylor,57 points
336,Show HN: Insert a page view counter in your README,https://github.com/victorqribeiro/imageCounter,github.com/victorqribeiro,2 days ago,atum47,13 points
337,OpenSmalltalk – Cross-platform virtual machine for Squeak, Pharo, Cuis, Newspeak,https://opensmalltalk.org/,opensmalltalk.org,3 days ago,pabs3,92 points
338,Why RISC-V uses LR/SC instead of CAS for atomic memory operations?,https://twitter.com/hasheddan/status/1409673137654943745,twitter.com/hasheddan,1 day ago,hasheddan,19 points
339,Harlan Ellison Has Died,https://www.nytimes.com/2018/06/29/obituaries/harlan-ellison-intensely-prolific-science-fiction-writer-dies-at-84.html,nytimes.com,17 hours ago,ternaryoperator,5 points
340,UK wastes millions of tonnes of food every year: here’s how we can change that,https://theconversation.com/the-uk-wastes-millions-of-tonnes-of-food-every-year-heres-how-we-can-change-that-162783,theconversation.com,1 day ago,cheese_goddess,5 points
341,Book Review: How Asia Works,https://astralcodexten.substack.com/p/book-review-how-asia-works,astralcodexten.substack.com,1 day ago,feross,30 points
342,Near, the emulator developer of bsnes, higan, and more, has died,https://twitter.com/marcan42/status/1409176583433179137,twitter.com/marcan42,2 days ago,aquova,386 points
3438633989,twitter.com/darinfeinstein,17 hours ago,ur-whale,7 points
314,Citing a serious flight test incident, FAA slows Boeing 777X certification,https://www.seattletimes.com/business/boeing-aerospace/citing-a-serious-flight-test-incident-and-lack-of-design-maturity-faa-slows-boeing-777x-certification/,seattletimes.com,3 days ago,donohoe,167 points
315,Unicode sorting is hard and why browsers added special emoji matching to regexp,https://devlog.hexops.com/2021/unicode-sorting-why-browsers-added-special-emoji-matching,hexops.com,2 days ago,todsacerdoti,97 points
316,Gigantic Antarctic Lake Suddenly Disappears Due to Hydrofracture,https://www.sciencealert.com/gigantic-antarctic-lake-suddenly-disappears-in-monumental-vanishing-act,sciencealert.com,1 day ago,graderjs,22 points
317,ISP announces 86% slowdown “in line with others”,https://doctorow.medium.com/isp-announces-86-slowdown-in-line-with-others-d0884df51fc1,doctorow.medium.com,3 days ago,smackay,214 points
318,The Thing (Listening Device),https://en.wikipedia.org/wiki/The_Thing_(listening_device),wikipedia.org,1 day ago,nomoreplease,14 points
319,Secrets about People: A Short and Dangerous Introduction to René Girard (2019),https://alexdanco.com/2019/04/28/secrets-about-people-a-short-and-dangerous-introduction-to-rene-girard/,alexdanco.com,2 days ago,walterbell,15 points
320,The school for sysadmins who can’t timesync good,https://libertysys.com.au/2016/09/the-school-for-sysadmins-who-cant-timesync-good-and-wanna-learn-to-do-other-stuff-good-too-part-1-the-problem-with-ntp/,libertysys.com.au,3 days ago,zdw,112 points
321,Where Jobless Benefits Were Cut, Jobs Are Still Hard to Fill,https://www.nytimes.com/2021/06/27/business/economy/jobs-workers-unemployment-benefits.html,nytimes.com,18 hours ago,awnird,6 points
322,Mathematicians Explore Mirror Link Between Two Geometric Worlds,https://www.quantamagazine.org/mathematicians-explore-mirror-link-between-two-geometric-worlds-20180409/,quantamagazine.org,3 days ago,nsoonhui,74 points
323,Oumuamua, alien artefact or interstellar debris?,https://aeon.co/essays/aliens-science-and-speculation-in-the-wake-of-oumuamua,aeon.co,1 day ago,romaintailhurat,14 points
324,Mate Selection for Modernity,https://quillette.com/2021/06/28/mate-selection-for-modernity/,quillette.com,22 hours ago,vwoolf,8 points
325,Ask HN: Have you ever worked hard on something that did not pay off?,https://news.ycombinator.com/item?id=27679873https://news.ycombinator.com,21 hours ago,arduinomancer,9 points
326,A side project story: octave.im,https://frantic.im/octave/,frantic.im,3 days ago,pcr910303,37 points
327,Walmart Rolls Out a Cheaper Insulin,https://gizmodo.com/walmart-rolls-out-a-cheaper-insulin-1847193399,gizmodo.com,23 hours ago,ourmandave,10 points
328,The Legion Lonely,https://hazlitt.net/longreads/legion-lonely,hazlitt.net,1 day ago,axiomdata316,6 points
329,Controversial Alzheimer’s drug could cost US $334B–nearly half of DoD budget,https://arstechnica.com/science/2021/06/controversial-alzheimers-drug-could-cost-us-334b-nearly-half-of-dod-budget/,arstechnica.com,1 day ago,pseudolus,26 points
330,Ask HN: Where to start with getting back into front end?,https://news.ycombinator.com/item?id=27679588https://news.ycombinator.com,22 hours ago,throwaway_egbs,5 points
